DateTime,Latitude,Longitude
2020-07-23 17:04:04.125000+00:00,43.449345,-79.738266
2020-07-23 17:04:05.125000+00:00,43.449318,-79.73824
2020-07-23 17:04:06.125000+00:00,43.44929,-79.73819
2020-07-23 17:04:07.125000+00:00,43.44924,-79.73814
2020-07-23 17:04:08.125000+00:00,43.449192,-79.73808
2020-07-23 17:04:09.125000+00:00,43.44914,-79.73801
2020-07-23 17:04:10.125000+00:00,43.44909,-79.73793
2020-07-23 17:04:11.188000+00:00,43.449036,-79.73783
2020-07-23 17:04:12.125000+00:00,43.44896,-79.737755
2020-07-23 17:04:13.125000+00:00,43.44891,-79.73765
2020-07-23 17:04:14.125000+00:00,43.448833,-79.73755
2020-07-23 17:04:15.125000+00:00,43.448753,-79.73745
2020-07-23 17:04:16.125000+00:00,43.448677,-79.73734
2020-07-23 17:04:17.125000+00:00,43.4486,-79.73724
2020-07-23 17:04:18.125000+00:00,43.448524,-79.73714
2020-07-23 17:04:19.125000+00:00,43.44845,-79.737015
2020-07-23 17:04:20.125000+00:00,43.44837,-79.73691
2020-07-23 17:04:21.188000+00:00,43.448296,-79.73681
2020-07-23 17:04:22.125000+00:00,43.44822,-79.73668
2020-07-23 17:04:23.125000+00:00,43.44814,-79.73657
2020-07-23 17:04:24.125000+00:00,43.448063,-79.73647
2020-07-23 17:04:25.125000+00:00,43.447987,-79.7364
2020-07-23 17:04:26.125000+00:00,43.447937,-79.73632
2020-07-23 17:04:27.125000+00:00,43.44791,-79.7363
2020-07-23 17:04:28.125000+00:00,43.44791,-79.73627
2020-07-23 17:04:29.063000+00:00,43.447884,-79.736244
2020-07-23 17:04:30.063000+00:00,43.447884,-79.736244
2020-07-23 17:04:31.188000+00:00,43.447884,-79.736244
2020-07-23 17:04:32.125000+00:00,43.44786,-79.73619
2020-07-23 17:04:33.125000+00:00,43.447834,-79.73617
2020-07-23 17:04:34.125000+00:00,43.44778,-79.736115
2020-07-23 17:04:35.125000+00:00,43.44773,-79.73604
2020-07-23 17:04:36.125000+00:00,43.44768,-79.73596
2020-07-23 17:04:37.125000+00:00,43.447628,-79.735886
2020-07-23 17:04:38.125000+00:00,43.44758,-79.73581
2020-07-23 17:04:39.125000+00:00,43.447502,-79.7357
2020-07-23 17:04:40.125000+00:00,43.447426,-79.7356
2020-07-23 17:04:41.188000+00:00,43.447346,-79.735504
2020-07-23 17:04:42.125000+00:00,43.44727,-79.7354
2020-07-23 17:04:43.125000+00:00,43.447193,-79.73527
2020-07-23 17:04:44.125000+00:00,43.447117,-79.73517
2020-07-23 17:04:45.125000+00:00,43.447014,-79.73504
2020-07-23 17:04:46.125000+00:00,43.446938,-79.73494
2020-07-23 17:04:47.125000+00:00,43.44686,-79.73481
2020-07-23 17:04:48.125000+00:00,43.44676,-79.73471
2020-07-23 17:04:49.125000+00:00,43.446682,-79.73458
2020-07-23 17:04:50.125000+00:00,43.446606,-79.734474
2020-07-23 17:04:51.188000+00:00,43.44653,-79.734375
2020-07-23 17:04:52.125000+00:00,43.446476,-79.7343
2020-07-23 17:04:53.125000+00:00,43.446426,-79.73422
2020-07-23 17:04:54.125000+00:00,43.446373,-79.734146
2020-07-23 17:04:55.125000+00:00,43.446323,-79.73409
2020-07-23 17:04:56.125000+00:00,43.446323,-79.73407
2020-07-23 17:04:57.063000+00:00,43.446297,-79.73407
2020-07-23 17:04:58.063000+00:00,43.446297,-79.73407
2020-07-23 17:04:59.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:00.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:01.125000+00:00,43.446297,-79.73407
2020-07-23 17:05:02.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:03.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:04.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:05.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:06.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:07.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:08.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:09.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:10.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:11.125000+00:00,43.446297,-79.73407
2020-07-23 17:05:12.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:13.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:14.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:15.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:16.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:17.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:18.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:19.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:20.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:21.125000+00:00,43.446297,-79.73407
2020-07-23 17:05:22.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:23.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:24.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:25.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:26.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:27.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:28.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:29.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:30.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:31.125000+00:00,43.446297,-79.73407
2020-07-23 17:05:32.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:33.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:34.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:35.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:36.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:37.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:38.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:39.063000+00:00,43.446297,-79.73407
2020-07-23 17:05:40.125000+00:00,43.446297,-79.73402
2020-07-23 17:05:41.188000+00:00,43.446274,-79.73399
2020-07-23 17:05:42.125000+00:00,43.446247,-79.73396
2020-07-23 17:05:43.125000+00:00,43.44622,-79.73392
2020-07-23 17:05:44.125000+00:00,43.44617,-79.733864
2020-07-23 17:05:45.125000+00:00,43.446117,-79.73379
2020-07-23 17:05:46.125000+00:00,43.446068,-79.73371
2020-07-23 17:05:47.125000+00:00,43.44599,-79.733604
2020-07-23 17:05:48.125000+00:00,43.44594,-79.733505
2020-07-23 17:05:49.125000+00:00,43.44586,-79.7334
2020-07-23 17:05:50.125000+00:00,43.445812,-79.73328
2020-07-23 17:05:51.188000+00:00,43.445736,-79.73315
2020-07-23 17:05:52.125000+00:00,43.445656,-79.73302
2020-07-23 17:05:53.125000+00:00,43.44558,-79.73289
2020-07-23 17:05:54.125000+00:00,43.445477,-79.732735
2020-07-23 17:05:55.125000+00:00,43.4454,-79.73258
2020-07-23 17:05:56.125000+00:00,43.445324,-79.73243
2020-07-23 17:05:57.125000+00:00,43.44522,-79.73228
2020-07-23 17:05:58.125000+00:00,43.445145,-79.732124
2020-07-23 17:05:59.125000+00:00,43.44504,-79.73197
2020-07-23 17:06:00.125000+00:00,43.444965,-79.73181
2020-07-23 17:06:01.188000+00:00,43.444862,-79.73166
2020-07-23 17:06:02.125000+00:00,43.444786,-79.73151
